Region_ID,Region_name,Region_class,Process_ID,Sv_mean,NASC,Sv_max,Sv_min,Sv_noise,NASC_noise,Height_mean,Depth_mean,Good_samples,Ping_S,Ping_E,Ping_M,Dist_S,Dist_E,Dist_M,VL_start,VL_end,VL_mid,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Exclude_below_line_depth_mean,Program_version,Processing_version,Processing_date,Processing_time,EV_filename,Alpha,Gain_constant,Noise_Sv_1m,Minimum_Sv_threshold_applied,Minimum_integration_threshold,Maximum_Sv_threshold_applied,Maximum_integration_threshold,Exclude_above_line_applied,Exclude_above_line_depth_mean,Exclude_below_line_applied,Bottom_offset,Uncorrected_length,Uncorrected_thickness,Uncorrected_perimeter,Uncorrected_area,Standard_deviation,Skewness,Kurtosis,Attack_angle,Corrected_length,Corrected_thickness,Corrected_perimeter,Corrected_area,Image_compactness,Corrected_mean_amplitude,Corrected_MVBS,Coefficient_of_variation,Horizontal_roughness_coefficient,Vertical_roughness_coefficient,3D_school_volume,ABC,ABC_noise,Area_Backscatter_Strength,Species_Id,Species_name,Species_percent,Species_TS,Species_weight,Density_number,Density_weight,Thickness_mean,Range_mean,Exclude_below_line_range_mean,Exclude_above_line_range_mean,Bad_data_no_data_samples,Beam_volume_sum,No_data_samples,Frequency,Region_notes,Region_detection_settings,Exclude_below_line_depth_min,Exclude_below_line_range_min,Exclude_below_line_depth_max,Exclude_below_line_range_max,Samples_Below_Bottom_Exclusion,Samples_Above_Surface_Exclusion,Samples_In_Domain,Bad_data_empty_water_samples,Heave_source,Heave_min,Heave_max,Heave_mean,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
512,Region 512,Schools detected,321,-66.271257,10.484082,-61.117297,-69.966546,-970.68663,0,1.030776,25.828781,87,25285,25292,25288,34.527509,34.540789,34.531995,0,0,0,20110608, 14:53:39.6040,20110608, 14:53:48.6340,20110608, 14:53:42.6270,48.14707301,-122.6936705,48.14693006,-122.6939212,48.14702519,-122.6937557,74.651717,12.1.64.44173,3,20220822, 13:43:28.0880,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.08_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,27.37798,3.412224,139.303276,34.35904,1.39674E-07,1.580765,3.919597,0.763106,27.033969,3.028224,137.847254,30.109247,50.22113,2.11E-07,-66.756802,66.190396,2.0102E-07,7.33495E-08,21.069997,2.43242E-07,0,-66.13961443,0,Unassigned,100,-40,1,8342.967036,8342.967036,1.030776,22.828781,71.651717,3.75,0,34.9845,0,120,,Variable name: 120 de-noise w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,73.616702,70.616702,75.903363,72.903363,0,0,87,0,,0,0,0,46.920887,49.254755,48.168981,48.953497,51.564444,49.958029,25.891938,0.757735,0.965517,6.125061,0.163264
513,Region 513,Schools detected,321,-55.187614,178.167265,-44.504868,-69.889442,-974.353656,0,1.36489,19.088268,72,26712,26716,26714,36.748983,36.755747,36.752369,0,0,0,20110608, 15:17:34.9880,20110608, 15:17:38.9950,20110608, 15:17:36.9910,48.15060635,-122.6979158,48.15054947,-122.6980607,48.15057623,-122.697987,75.41779,12.1.64.44173,3,20220822, 13:43:28.0880,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.08_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,15.528019,3.31744,81.755314,21.33093,5.91742E-06,3.377945,13.790357,6.748799,13.277032,2.93344,76.485341,16.127568,28.865406,2.79E-06,-55.544033,212.097641,1.32511E-05,9.60638E-06,20.67695,4.13367E-06,0,-53.83663922,0,Unassigned,100,-40,1,141781.0044,141781.0044,1.36489,16.088268,72.41779,3.75,0,14.40064,0,120,,Variable name: 120 de-noise w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,75.274445,72.274445,75.62191,72.62191,0,0,72,0,,0,0,0,54.998052,55.389897,55.214494,55.450285,58.233417,57.204958,18.727343,0.522138,0.930556,1.432336,0.69816
514,Region 514,Schools detected,321,-65.400698,8.99588,-54.816301,-69.961252,-962.137126,0,0.723805,52.263984,84,27284,27294,27289,37.643878,37.65838,37.65094,0,0,0,20110608, 15:27:10.8100,20110608, 15:27:20.8300,20110608, 15:27:15.8200,48.15731386,-122.6925213,48.15748657,-122.6922698,48.15739521,-122.6923947,55.495661,12.1.64.44173,3,20220822, 13:43:28.0880,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.08_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,29.532427,3.222656,160.63054,21.302334,4.81392E-07,5.068237,26.901769,1.706037,27.976102,2.838656,156.74989,17.775182,109.999463,2.59E-07,-65.86502,185.780684,5.16385E-07,6.01713E-07,4.374349,2.08714E-07,0,-66.80448167,0,Unassigned,100,-40,1,7158.69407,7158.69407,0.723805,49.263984,52.495661,3.75,0,157.109195,0,120,,Variable name: 120 de-noise w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,54.948211,51.948211,56.027273,53.027273,0,0,84,0,,0,0,0,1.636164,4.092535,2.566035,3.560979,4.620103,4.168746,52.464664,0.523424,1,2.121001,0.471476
515,Region 515,Schools detected,321,-60.004967,121.863276,-45.15123,-69.995571,-964.347279,0,2.830595,45.01528,657,27291,27312,27301,37.653883,37.685834,37.669007,0,0,0,20110608, 15:27:17.8240,20110608, 15:27:38.8680,20110608, 15:27:27.8440,48.15742973,-122.6923427,48.15782483,-122.691811,48.15762143,-122.6920987,53.940189,12.1.64.44173,3,20220822, 13:43:28.0880,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.08_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,62.168621,9.857536,725.283505,175.215035,3.38115E-06,5.948412,39.161302,4.662827,58.503179,9.473536,717.184621,158.461345,258.302573,9.81E-07,-60.084144,344.730089,3.41676E-05,6.68063E-06,100.860087,2.82736E-06,0,-55.48618985,0,Unassigned,100,-40,1,96975.71385,96975.71385,2.830595,42.01528,50.940189,3.75,0,897.211714,0,120,,Variable name: 120 de-noise w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,50.997265,47.997265,56.027273,53.027273,0,0,657,0,,0,0,0,4.782912,7.623511,5.930714,6.339697,14.526574,11.535895,44.858088,7.318221,0.916286,5.005501,0.19978
516,Region 516,Schools detected,321,-64.574478,12.111503,-56.49688,-69.952344,-971.319526,0,0.805664,24.096688,85,27298,27307,27302,37.664326,37.678087,37.670568,0,0,0,20110608, 15:27:24.8380,20110608, 15:27:33.8570,20110608, 15:27:28.8470,48.15756169,-122.6921735,48.15772877,-122.6919396,48.15764027,-122.6920719,54.001675,12.1.64.44173,3,20220822, 13:43:28.0880,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.08_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,28.42381,3.601792,123.603682,22.980038,4.09529E-07,3.144892,10.620584,2.090967,27.544321,3.217792,121.076705,19.894813,58.636961,3.16E-07,-65.003154,129.598689,1.45077E-06,3.07213E-07,14.089354,2.81E-07,0,-65.51293802,0,Unassigned,100,-40,1,9638.027662,9638.027662,0.805664,21.096688,51.001675,3.75,0,29.205182,0,120,,Variable name: 120 de-noise w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,52.88038,49.88038,54.581693,51.581693,0,0,85,0,,0,0,0,28.554606,30.723431,29.741623,29.786798,31.502821,30.850596,24.290399,0.761501,1,3.410265,0.293232
517,Region 517,Schools detected,321,-61.368009,36.969843,-53.253474,-69.294617,-976.597695,0,1.175322,15.295931,62,28758,28762,28760,40.046967,40.05356,40.050167,0,0,0,20110608, 15:51:52.8760,20110608, 15:51:56.8900,20110608, 15:51:54.8790,48.1621974,-122.6991573,48.16227385,-122.69904,48.16223434,-122.6991001,66.119009,12.1.64.44173,3,20220822, 13:43:28.0880,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.08_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,15.116355,3.412224,49.75856,18.274238,9.75312E-07,2.66683,7.178166,4.052232,14.034102,3.028224,46.826055,15.056614,11.588787,6.64E-07,-61.780176,146.947162,5.34876E-06,6.07534E-07,13.77344,8.5774E-07,0,-60.66644229,0,Unassigned,100,-40,1,29419.66622,29419.66622,1.175322,12.295931,63.119009,3.75,0,7.268018,0,120,,Variable name: 120 de-noise w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,66.028299,63.028299,66.224554,63.224554,0,0,62,0,,0,0,0,48.849282,51.51873,50.25682,50.409042,52.217658,51.697537,14.958395,0.801114,1,2.131349,0.469186
524,Region 524,Schools detected,321,-66.223865,6.206862,-59.446994,-69.972678,-965.433717,0,0.603624,40.293979,121,35877,35895,35886,47.583177,47.616359,47.59974,0,0,0,20110608, 17:51:11.2520,20110608, 17:51:29.2880,20110608, 17:51:20.2700,48.16441646,-122.7056091,48.16403116,-122.7062009,48.16422633,-122.7059078,71.710144,12.1.64.44173,3,20220822, 13:43:28.0880,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.08_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,64.907149,3.033088,207.978088,39.327041,1.79552E-07,2.903308,10.996812,0.730369,64.393501,2.649088,206.182791,34.076278,99.275667,2.10E-07,-66.788002,85.701954,2.20962E-07,1.09471E-07,11.977769,1.44006E-07,0,-68.41619736,0,Unassigned,100,-40,1,4939.263943,4939.263943,0.603624,37.293979,68.710144,3.75,0,129.694868,0,120,,Variable name: 120 de-noise w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,69.423064,66.423064,73.76262,70.76262,0,0,121,0,,0,0,0,29.12556,33.749468,30.998584,29.504696,34.98166,31.876583,40.162569,0.471346,0.975207,7.343556,0.136174
525,Region 525,Schools detected,321,-66.010742,9.29818,-60.082732,-69.815914,-958.249266,0,0.860955,72.614935,109,35887,35898,35892,47.601564,47.621954,47.610764,0,0,0,20110608, 17:51:21.2720,20110608, 17:51:32.2940,20110608, 17:51:26.2830,48.16420473,-122.7059398,48.16396404,-122.7062974,48.16409772,-122.7061036,73.279277,12.1.64.44173,3,20220822, 13:43:28.0880,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.08_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,41.223531,3.033088,172.970123,35.496052,1.82018E-07,1.485564,3.32051,1.202015,39.700078,2.649088,169.155218,29.856411,76.264659,2.22E-07,-66.530065,81.869481,2.71662E-07,1.03036E-07,13.859983,2.15728E-07,0,-66.6609388,0,Unassigned,100,-40,1,7399.25663,7399.25663,0.860955,69.614935,70.279277,3.75,0,407.026522,0,120,,Variable name: 120 de-noise w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,72.031507,69.031507,74.541492,71.541492,0,0,109,0,,0,0,0,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,72.734522,0.686923,0.908257,6.784293,0.147399
526,Region 526,Schools detected,321,-66.825707,7.721426,-60.644029,-69.93462,-966.311458,0,0.862534,37.222232,91,36034,36043,36038,47.884736,47.901997,47.892403,0,0,0,20110608, 17:53:49.1290,20110608, 17:53:58.1500,20110608, 17:53:53.1370,48.16096622,-122.7110545,48.16076679,-122.7113637,48.16087822,-122.7111928,63.408188,12.1.64.44173,3,20220822, 13:43:28.0880,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.08_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,35.559061,3.31744,195.635292,30.81256,1.44559E-07,2.580376,7.355857,0.25939,35.390548,2.93344,194.530267,27.11683,111.051794,1.84E-07,-67.343601,78.416226,1.03853E-07,8.003E-08,8.018413,1.79145E-07,0,-67.46794304,0,Unassigned,100,-40,1,6144.515813,6144.515813,0.862534,34.222232,60.408188,3.75,0,82.166765,0,120,,Variable name: 120 de-noise w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,63.028277,60.028277,64.272473,61.272473,0,0,91,0,,0,0,0,24.457117,25.586298,25.072713,25.374569,27.854531,26.494473,37.397027,0.865976,0.989011,5.831446,0.171484
527,Region 527,Schools detected,321,-62.442888,15.342048,-54.715719,-69.984395,-959.690424,0,0.624713,63.359105,145,36065,36086,36075,47.943747,47.982462,47.962063,0,0,0,20110608, 17:54:20.1940,20110608, 17:54:41.2370,20110608, 17:54:30.2140,48.16027293,-122.7120929,48.1598247,-122.712785,48.16006303,-122.7124235,64.148598,12.1.64.44173,3,20220822, 13:43:28.0880,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.08_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,75.217619,4.549632,215.179093,46.673077,6.34001E-07,2.525516,7.18149,3.43276,71.420452,4.165632,206.816758,40.576452,83.88562,5.32E-07,-62.74158,119.192146,1.09626E-06,3.00339E-07,19.101469,3.55952E-07,0,-64.48608495,0,Unassigned,100,-40,1,12208.81393,12208.81393,0.624713,60.359105,61.148598,3.75,0,407.17362,0,120,,Variable name: 120 de-noise w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,62.233309,59.233309,65.941962,62.941962,0,0,145,0,,0,0,0,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,63.434472,1.122691,0.993103,6.164288,0.162225
528,Region 528,Schools detected,321,-67.109032,11.791319,-61.704352,-69.977664,-967.295195,0,1.405963,34.547097,89,36075,36080,36077,47.962063,47.971295,47.965744,0,0,0,20110608, 17:54:30.2140,20110608, 17:54:35.2250,20110608, 17:54:32.2180,48.16006303,-122.7124235,48.15995441,-122.7125861,48.16001954,-122.7124881,64.705822,12.1.64.44173,3,20220822, 13:43:28.0880,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.08_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,20.67694,3.222656,138.70199,29.024868,1.21039E-07,1.987728,4.897525,0.127811,20.599875,2.838656,137.77986,25.471081,59.30813,1.72E-07,-67.646341,70.397729,1.59829E-07,7.0936E-08,13.618434,2.73571E-07,0,-65.6292944,0,Unassigned,100,-40,1,9383.233632,9383.233632,1.405963,31.547097,61.705822,3.75,0,68.28237,0,120,,Variable name: 120 de-noise w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,64.273461,61.273461,65.067399,62.067399,0,0,89,0,,0,0,0,28.668366,29.414311,29.02114,29.378645,31.776173,31.15378,34.535232,0.518517,0.966292,6.101373,0.163898
529,Region 529,Schools detected,321,-49.851622,966.243512,-34.261928,-69.962437,-967.643864,0,2.166491,33.336212,320,36120,36133,36126,48.04547,48.069468,48.056463,0,0,0,20110608, 17:55:15.3050,20110608, 17:55:28.3320,20110608, 17:55:21.3180,48.15909419,-122.7139099,48.15879695,-122.7143087,48.15896035,-122.7140963,55.60372,12.1.64.44173,3,20220822, 13:43:28.0880,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.08_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,47.81561,7.487936,355.317054,103.896746,3.43193E-05,6.889519,57.333469,8.370501,42.936749,7.103936,344.791332,88.511218,106.881982,1.01E-05,-49.94433,338.822135,0.000387756,3.9232E-05,110.106476,2.24179E-05,0,-46.49405244,0,Unassigned,100,-40,1,768912.1556,768912.1556,2.166491,30.336212,52.60372,3.75,0,227.760954,0,120,,Variable name: 120 de-noise w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,54.378913,51.378913,57.829128,54.829128,0,0,320,0,,0,0,0,18.388382,25.303912,20.884931,23.305563,25.929558,24.622129,34.105233,4.238981,0.978125,2.534785,0.394511
530,Region 530,Schools detected,321,-58.101337,66.129969,-47.660119,-69.982739,-970.455171,0,0.990924,26.819631,115,36132,36142,36137,48.06761,48.086187,48.076839,0,0,0,20110608, 17:55:27.3290,20110608, 17:55:37.3500,20110608, 17:55:32.3410,48.15882041,-122.7142785,48.15858645,-122.7145808,48.15870337,-122.7144273,54.468038,12.1.64.44173,3,20220822, 13:43:28.0880,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.08_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,37.820153,3.222656,162.581251,37.594616,3.81523E-06,3.106091,8.527175,5.503921,35.241835,2.838656,156.656615,30.857426,63.288953,1.40E-06,-58.549464,273.191328,1.47894E-05,1.0159E-05,14.602929,1.53429E-06,0,-58.14093514,0,Unassigned,100,-40,1,52624.55736,52624.55736,0.990924,23.819631,51.468038,3.75,0,50.329654,0,120,,Variable name: 120 de-noise w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,54.044935,51.044935,54.704048,51.704048,0,0,115,0,,0,0,0,25.746371,27.771088,26.89744,27.368495,29.570489,28.250266,27.301612,0.251696,0.921739,1.552978,0.643924
531,Region 531,Schools detected,321,-66.8812,6.342853,-61.092544,-69.977689,-967.282272,0,0.71765,34.777677,106,36550,36563,36556,48.664783,48.685479,48.674225,0,0,0,20110608, 18:02:27.3430,20110608, 18:02:40.3690,20110608, 18:02:33.3550,48.16399017,-122.7162456,48.16421142,-122.7158545,48.16410092,-122.7160798,72.636706,12.1.64.44173,3,20220822, 13:43:28.0880,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.08_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,41.162176,3.033088,144.434616,29.70007,1.19852E-07,1.539833,4.513976,0.153689,41.068889,2.649088,143.480041,25.881145,63.29795,1.79E-07,-67.459653,66.774596,1.46136E-07,5.24273E-08,9.177388,1.47161E-07,0,-68.32207169,0,Unassigned,100,-40,1,5047.482257,5047.482257,0.71765,31.777677,69.636706,3.75,0,82.512936,0,120,,Variable name: 120 de-noise w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,67.986125,64.986125,78.030679,75.030679,0,0,106,0,,0,0,0,32.712173,43.514999,37.26797,33.091309,44.557623,38.20904,34.80927,0.492152,0.95283,7.506867,0.133211
532,Region 532,Schools detected,321,-66.625239,8.573723,-58.932309,-69.995186,-967.606536,0,0.914538,33.567973,357,36605,36641,36623,48.753679,48.810911,48.783134,0,0,0,20110608, 18:03:22.4530,20110608, 18:03:58.8240,20110608, 18:03:40.5650,48.16491453,-122.7145244,48.16558744,-122.7135353,48.16522833,-122.7139667,58.839591,12.1.64.44173,3,20220822, 13:43:28.0880,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.08_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,108.963875,4.7392,643.332011,98.934457,1.52339E-07,2.775135,11.986354,0.284045,108.797461,4.3552,642.231182,90.779306,361.564725,2.00E-07,-66.985227,76.090896,1.39532E-07,9.23698E-08,32.629581,1.9892E-07,0,-67.01322385,0,Unassigned,100,-40,1,6822.752003,6822.752003,0.914538,30.567973,55.839591,3.75,0,257.3167,0,120,,Variable name: 120 de-noise w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,52.089645,49.089645,76.852068,73.852068,0,0,357,0,,0,0,0,17.957046,42.525956,24.533973,18.332237,42.715524,26.260579,33.570887,1.055514,0.971989,22.722826,0.044009
533,Region 533,Schools detected,321,-66.757323,10.422058,-61.808916,-69.972113,-971.079701,0,1.146025,25.383277,133,36619,36629,36624,48.776986,48.792124,48.784657,0,0,0,20110608, 18:03:36.5330,20110608, 18:03:46.6630,20110608, 18:03:41.5850,48.16515,-122.714065,48.16535247,-122.7138425,48.16524833,-122.7139433,57.145945,12.1.64.44173,3,20220822, 13:43:28.0880,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.08_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,30.991831,4.360064,191.432099,35.147732,1.36098E-07,1.080835,1.376443,0.272265,30.871211,3.976064,190.42286,31.927451,90.378277,1.93E-07,-67.143568,70.503367,1.81887E-07,6.48303E-08,16.186917,2.41803E-07,0,-66.16538334,0,Unassigned,100,-40,1,8293.610509,8293.610509,1.146025,22.383277,54.145945,3.75,0,51.451403,0,120,,Variable name: 120 de-noise w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,55.088874,52.088874,59.749939,56.749939,0,0,133,0,,0,0,0,29.577674,35.660499,30.781689,29.672458,35.944851,32.815236,25.286026,1.072433,0.917293,8.921978,0.112083
534,Region 534,Schools detected,321,-66.561033,9.434504,-60.623206,-69.97599,-966.022134,0,0.991586,38.523092,136,36639,36651,36645,48.807859,48.825945,48.816985,0,0,0,20110608, 18:03:56.7990,20110608, 18:04:08.9140,20110608, 18:04:02.8650,48.16555196,-122.7135897,48.16577164,-122.7132823,48.16565994,-122.7134299,78.804049,12.1.64.44173,3,20220822, 13:43:28.0880,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.08_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,36.264225,3.886144,165.659026,35.729676,1.27382E-07,1.875567,6.219529,0.522643,35.912821,3.502144,164.188219,31.887121,67.27579,2.00E-07,-66.985442,63.628627,1.34718E-07,8.56201E-08,18.27327,2.18891E-07,0,-66.59772751,0,Unassigned,100,-40,1,7507.739918,7507.739918,0.991586,35.523092,75.804049,3.75,0,132.301605,0,120,,Variable name: 120 de-noise w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,73.770438,70.770438,81.401467,78.401467,0,0,136,0,,0,0,0,35.463399,42.620507,39.636662,35.652967,43.094427,41.065714,38.501002,0.79926,0.963235,9.688297,0.103217
